high,last,created_at,book,volume,vwap,low,ask,bid,change_24
178198.74,170444.17,2020-02-27T09:24:42+00:00,btc_mxn,445.50358,170229.00359,165000.01,170444.17,170381,-5014.33
178198.74,170444.17,2020-02-27T09:25:42+00:00,btc_mxn,445.50358,170229.00359,165000.01,170444.17,170387.13,-5014.33
178198.74,170444.17,2020-02-27T09:26:42+00:00,btc_mxn,445.60299,170229.05159,165000.01,170539.04,170462.23,-5014.33
178198.74,171727.03,2020-02-27T09:27:43+00:00,btc_mxn,445.70395,170229.37483,165000.01,171812.93,171727.03,-3731.47
178198.74,171727.03,2020-02-27T09:28:42+00:00,btc_mxn,445.70395,170229.37483,165000.01,171812.93,171727.03,-3731.47
178198.74,171878.28,2020-02-27T09:29:42+00:00,btc_mxn,445.70479,170229.37785,165000.01,171841.24,171727.03,-3580.22
178198.74,172269.12,2020-02-27T09:30:43+00:00,btc_mxn,445.8105,170229.77247,165000.01,171827.14,171727.03,-3101.13
178198.74,170746.74,2020-02-27T09:31:43+00:00,btc_mxn,445.76145,170229.20682,165000.01,171329.77,171244.12,-4711.76
178198.74,170746.74,2020-02-27T09:32:43+00:00,btc_mxn,445.75933,170229.16958,165000.01,171329.77,171244.26,-4711.76
178198.74,171244.33,2020-02-27T09:33:44+00:00,btc_mxn,445.98104,170229.67425,165000.01,171329.77,171244.36,-4214.17
178198.74,171244.33,2020-02-27T09:34:44+00:00,btc_mxn,445.98104,170229.67425,165000.01,171329.77,171244.67,-4214.17
178198.74,171244.33,2020-02-27T09:35:44+00:00,btc_mxn,445.98104,170229.67425,165000.01,171329.77,171244.95,-4214.17
178198.74,171244.33,2020-02-27T09:36:44+00:00,btc_mxn,445.98104,170229.67425,165000.01,171329.77,171245.31,-4129.12
178198.74,171244.12,2020-02-27T09:37:45+00:00,btc_mxn,446.36777,170230.13668,165000.01,171387.9,171244.12,-4130.16
178198.74,171244.12,2020-02-27T09:38:44+00:00,btc_mxn,446.35577,170229.99838,165000.01,171387.9,171244.12,-4130.16
178198.74,171244.12,2020-02-27T09:39:45+00:00,btc_mxn,446.35577,170229.99838,165000.01,171387.9,171244.12,-4130.16
178198.74,171387.9,2020-02-27T09:40:45+00:00,btc_mxn,446.3616,170230.01352,165000.01,171387.9,171244.12,-3986.38
178198.74,171387.9,2020-02-27T09:41:46+00:00,btc_mxn,446.3616,170230.01352,165000.01,171387.9,171244.12,-3982.35
178198.74,170471.45,2020-02-27T09:42:46+00:00,btc_mxn,446.97437,170230.31227,165000.01,170968.4,170866.84,-4987.05
178198.74,170471.45,2020-02-27T09:43:46+00:00,btc_mxn,446.97437,170230.31227,165000.01,170968.4,170866.84,-4987.05
178198.74,170471.45,2020-02-27T09:44:46+00:00,btc_mxn,446.97437,170230.31227,165000.01,170968.4,170866.84,-4987.05
178198.74,170866.84,2020-02-27T09:45:47+00:00,btc_mxn,446.98019,170230.32057,165000.01,170968.4,170866.84,-4591.66
178198.74,170432.78,2020-02-27T09:46:47+00:00,btc_mxn,447.1002,170230.37669,165000.01,170600.78,170494.51,-5025.72
178198.74,170432.78,2020-02-27T09:47:48+00:00,btc_mxn,447.1002,170230.37669,165000.01,170600.78,170494.74,-5025.72
178198.74,170494.74,2020-02-27T09:48:47+00:00,btc_mxn,447.86784,170230.82981,165000.01,170600.78,170494.76,-4963.76
